Comment,Cluster
kudos able stretch show,not_cyberbullying
month onto show still dont final team,not_cyberbullying
people seem really warped view republican even mean lately,religion
party line majorly shifted,religion
lolol boy whipped af,other_cyberbullying
come stay alive knight nation,not_cyberbullying
still early bird special,not_cyberbullying
girl need learn churn,not_cyberbullying
stick day job girl,not_cyberbullying
crap lynn tony stayed,not_cyberbullying
guess need babyy,not_cyberbullying
evidence intentionally targeting child,other_cyberbullying
turning block list could pretty rad,not_cyberbullying
4am work bos bad mood messed schedule dc driver ran dumpster,not_cyberbullying
bottom 2 team round going back instant restaurant,not_cyberbullying
4 top team 1 ea round amp top round amp also safe,not_cyberbullying
ongoing endless occupation anywhere,not_cyberbullying
minnesota gay teen bullied adult peer say activist reuters reuters barb schroeder knew,other_cyberbullying
7 smear lemon tart,not_cyberbullying
pretty sure hiding ability actually cook,not_cyberbullying
im take 20 hour download,not_cyberbullying
walked shelter puppy date,gender
success many definition,not_cyberbullying
top head gta,not_cyberbullying
twistedmetalblack,not_cyberbullying
understand woman industry must choose incompeten,gender
much happier financially secure adult kid paycheck paycheck household great parent,not_cyberbullying
keeping later trackies tshirt ha x,not_cyberbullying
current system inadequate,not_cyberbullying
u experienced navigating pitfall help,not_cyberbullying
child parent sent u sunday school think time,not_cyberbullying
get bullying tough time thinking got make see light end nsn,other_cyberbullying
watched isi guy argue saudi muslim scholar twitter,religion
scholar always loose,not_cyberbullying
talking 2 employee heard lot internal politics gg,gender
enough make stay,not_cyberbullying
good trash mocked world,other_cyberbullying
oh gosh played ready run tonight,not_cyberbullying
anyone went church service morning,religion
little one stay go nursery sunday school class,not_cyberbullying
100 sure started going anywhere good,not_cyberbullying
rt thought safe go back kitchen,not_cyberbullying
ypg pesh showing video truckloads daesh body,religion
still waiting big event promised,not_cyberbullying
bully dont make cool,other_cyberbullying
regardless isi completely defeated,not_cyberbullying
technologically backward win modern war,other_cyberbullying
video kevin durant get flushed geoff aka big bully dyckman,other_cyberbullying
would much prefer watch cowboy bebop made chelsea,not_cyberbullying
got code interpret amp analyze weight going take lot fiddling,not_cyberbullying
sociedade bullying,other_cyberbullying
stay instagram twitter class,not_cyberbullying
rt like total recall two breast,other_cyberbullying
curious rest non bay area country normal see tweet make news,not_cyberbullying
check go home,not_cyberbullying
pete eating,not_cyberbullying
would love,not_cyberbullying
would mind dming email address,not_cyberbullying
shoot email later today,not_cyberbullying
think classic tho,not_cyberbullying
caller wanted mike opinion r liable,not_cyberbullying
incidentally know editor,not_cyberbullying
woman gamer tech,gender
person think 6 people tweeting sealioning as worst thing world,not_cyberbullying
behind u corner,not_cyberbullying
first bandera fought nazi also nazi prison,ethnicity
2 team member sticking,not_cyberbullying
thanks everyone,not_cyberbullying
adverse putting boot ground raqqa letting boy kill isi scope sight,religion
yep rt always like public school affirmation,other_cyberbullying
sure sew tiny stitch clothes underpaid woman overseas,gender
see channel 7 found another way drag extra month year,not_cyberbullying
perfect seat class would one surrounded best friend crush,not_cyberbullying
oops prob say tote awkward lol,not_cyberbullying
shittiest day week,not_cyberbullying
one player pitch class,not_cyberbullying
rt watching india daughter horrifying,other_cyberbullying
lawyer defending rapist best culture,gender
hope cooking show next round,not_cyberbullying
mean plate right,not_cyberbullying
feel sorry colin eat 2 serving,not_cyberbullying
n rage pink 1 week turquoise mix special fx,not_cyberbullying
michelle heartless bitch bachman sign anti bullying law cause want 2 turn boy in2 girl wtf,other_cyberbullying
bullying linked decrease gpa longer lasting negative psychological effect obesity,other_cyberbullying
gon na cry minute fucking cope math,ethnicity
stop lying,not_cyberbullying
apparently,not_cyberbullying
tbh rooting jane emma bc lawyer bond,gender
make status facebook saying hate bully bully like,other_cyberbullying
rt wtf man get upset woman tech upset said man silence woman,gender
another 7 ffs,not_cyberbullying
apt complex turn away package,not_cyberbullying
fact 4958239689587 cute boy world 0 go school sick shit,not_cyberbullying
rt islamic state resupply route extended 400 km peshmerga take road,religion
kno play u always bully n champion,other_cyberbullying
since slug closer iq understand fascination,not_cyberbullying
ubisoft attempt pushing uplay rage inducing,other_cyberbullying
twitter make laugh,not_cyberbullying
course would also fight theocracy regardless religion,religion
see coach get mad player go late night,not_cyberbullying
iphone fucked come properly,not_cyberbullying
nothing broken,not_cyberbullying
driving througg lot water,other_cyberbullying
really feelin social xmas party realized deal people saying done w school yet,not_cyberbullying
one strongest tool stopping violence woman public shame abuser public support victim,other_cyberbullying
wish buddy staunton rather terrible driving class,not_cyberbullying
still stage given finding good task list mgt app fit workflow use notepad,not_cyberbullying
feeling remote may go tv next hour two clown,not_cyberbullying
oh watched wrong film first,not_cyberbullying
download hehe thanks,not_cyberbullying
pronounced voite,other_cyberbullying
work monday 2 7 yayyy get see saw school,not_cyberbullying
crippen convicted old bailey poisoning wife subsequently hanged pentonville prison london,religion
thats bullying unghh,other_cyberbullying
believe people still surprised annie lloyd cook,not_cyberbullying
almost exclusively used woman arguing men,gender
reserve game cancelled mean sitting bench rest year,not_cyberbullying
birdman racist misogynist trash masquerading high art,ethnicity
oh shit accidentally blocked,not_cyberbullying
granular monitoring redis would good,not_cyberbullying
ur bully look official homo lol,other_cyberbullying
see history computer science textile worker,not_cyberbullying
people mean men,gender
woman clearly imprisoned home,religion
52 bully dog 33307 custom pillar mount 67,other_cyberbullying
place brainwashed uneducated,other_cyberbullying
fall love young handsome,not_cyberbullying
continue describe tom hiddleston want belong entirely,not_cyberbullying
hope finish time,not_cyberbullying
tha time info meant 2b shared way get diff perspective page variety ppl follow,not_cyberbullying
need invest yakbak press button need say ironic sexism still sexism,gender
finally food relate,not_cyberbullying
asap rocky mmm mmmmm voice sexy care,not_cyberbullying
ever since met one else even worth thinking,not_cyberbullying
prob w public figure like say shit like cause storm,other_cyberbullying
daesh great job producing hell earth people living area,religion
come minute get home family wind never annoyed like school,not_cyberbullying
2 rookie back 4 carroll need bully,other_cyberbullying
feel like necessary today,not_cyberbullying
appreciate every donation received,not_cyberbullying
ppl threaten pull funding say thing want hear fuck,other_cyberbullying
rt way global medium pay respect martyr reprinting republishing,other_cyberbullying
new idea headline shock,not_cyberbullying
manu camping involved show either,not_cyberbullying
ask would guy,not_cyberbullying
fucking stop,other_cyberbullying
overturn election either place people people right long elect new ppl,not_cyberbullying
ethic journalism,gender
wonder friend walking burrito fart milo,not_cyberbullying
even geared playing much,not_cyberbullying
need couple 8,not_cyberbullying
borad st bully,other_cyberbullying
look like thing turned around daesh quick run away,religion
stan got last word blocking ever heard caustic rename thanks awfully mwah,other_cyberbullying
whether life disability left outcast bullied teased rejoice love today cause babyyy u born way,other_cyberbullying
god bless mom bringing home chinese food,not_cyberbullying
anyone interested contributing project discipline excel template go town,not_cyberbullying
ever wondered idea 72 virgin come islam,religion
hadith describing,religion
like time school got free lunch cool kid beat u,not_cyberbullying
nutrition key closing,not_cyberbullying
life expectancy gap,not_cyberbullying
seriously someone get girl english lesson idea saying,gender
great hear voice long day work,not_cyberbullying
questioned good idea someone crowd came forward hug amp started cry,not_cyberbullying
know people talk often get drunk facebook twitter,not_cyberbullying
child girl naming frankie cause cute fricking girl name omg,gender
call break like promise casually cruel name honest,gender
kat andre celebrating bad cooking bad attitude strategic scoring,not_cyberbullying
know open source o used contribute,not_cyberbullying
blowing sky like fifth november,not_cyberbullying
agreed sure w,not_cyberbullying
russia 157 168 nation pes freedom,religion
anti bully zone favorite beat song ch ever done,other_cyberbullying
even chicken back caveman time pete,not_cyberbullying
take kat amp andre scum earth lol,not_cyberbullying
com sending positive messg live health awareness stop gang drug abuse bullying ect,other_cyberbullying
rt friend facebook acct might get shut legal name name use known,not_cyberbullying
anyone fb know,not_cyberbullying
union bullying getting really old stop,other_cyberbullying
idea make think clever far every one tweet moronic,not_cyberbullying
stinky as people wonder come school,not_cyberbullying
offering u pension,not_cyberbullying
seems season never going finish,not_cyberbullying
wait see pete amp manu flying cattle class jetstar,not_cyberbullying
think statement equally racist original tweet sexist,gender
everybody went school enjoyed day bed sleeping,not_cyberbullying
lloyd could show done,not_cyberbullying
rt entire history anti racism birth,ethnicity
rt believe wikipedia page attack,other_cyberbullying
definition really muslim terrorist,religion
accidentally numbed half mouth,not_cyberbullying
dribbling everywhere,not_cyberbullying
everything isi hold stolen including raqqa,religion
another bloody instant restaurant week,not_cyberbullying
jumped shark riding two shark powered shark power,not_cyberbullying
interpretation six year old,not_cyberbullying
69 child suffer bullying school gt,other_cyberbullying
since victim woman guess arsed give shit,gender
amp one know comb hair amp look presentable,not_cyberbullying
rt isi executing educated professional woman,gender
user want transparency abuse system difficulty,other_cyberbullying
allow people game system,not_cyberbullying
waiting thee orthodontist,not_cyberbullying
wish actually,not_cyberbullying
season 2015 2016,not_cyberbullying
next advertise continuing tennis,not_cyberbullying
rt annie go ahead punch ovary,other_cyberbullying
dumb idea put armed guard school,other_cyberbullying
talking tell many want kill apostate implement sharia,religion
rt rt billspindle power top fighter ground religious war side,other_cyberbullying
paying attention,not_cyberbullying
wow undocumented confirmation bias stinking comment sure convinces one,religion
thinking another round instant coming,not_cyberbullying
met plenty people educated private school still fail basic grammar,other_cyberbullying
lot ppl willing give u punch missing colin,other_cyberbullying
rt committed bow h,other_cyberbullying
true amp still suffering backlash damn car accident,not_cyberbullying
promo great time around tho,not_cyberbullying
fear child bullied book help make difference change everything,other_cyberbullying
rt find truly astounding number thought piece fail recognize offensive segment even without tw,other_cyberbullying
lmao guh hoe dne told ion care fr fr,other_cyberbullying
give thing need money cant buy,not_cyberbullying
several year since contributed code,not_cyberbullying
asked commit bit retired,not_cyberbullying
wadhwa woman write book woman tech published name title,gender
owner could kill would punishment,other_cyberbullying
like ash camilla screen presence,not_cyberbullying
president ever without winning ohio,ethnicity
texan back baby,not_cyberbullying
rt people see supporting already making fun,other_cyberbullying
happy help course,not_cyberbullying
lance armstrong award sportsmanship 2015 go,not_cyberbullying
rt feminist need female,gender
twitter school computer,not_cyberbullying
rt miserable martha pathetic patty amp bullshit becky sððððððð½ââï,gender
u lend heart,not_cyberbullying
malfunction,not_cyberbullying
every day brings u closer able make announcement,not_cyberbullying
chris warcraft,not_cyberbullying
officially hate kat andre hope karma bite hard,other_cyberbullying
went school late got sent home early,not_cyberbullying
possibly wont able attend tomorrow,not_cyberbullying
rt literally month attack one single criticism response leveled actual work,other_cyberbullying
yeah kat laugh hard brought back earth laughing,gender
doubt ever street fire fight,other_cyberbullying
venham aceito bullying tbm,other_cyberbullying
idea help victim bullying,other_cyberbullying
send email tomorrow morning,not_cyberbullying
lovie case enough get fired,other_cyberbullying
av really needed man,not_cyberbullying
made right pick,not_cyberbullying
started watching port v magpie turned,not_cyberbullying
hate see bullying workplace,other_cyberbullying
tongs memory camper,not_cyberbullying
see logic screwed moral,other_cyberbullying
rt distorting effect internet make even worse relatively minor figure online get scrutiny normally reserved,other_cyberbullying
colin believe meant say enlarged clogged heart,not_cyberbullying
rt fighter daughter mt fight love enemy fight hate,other_cyberbullying
ok officially dislike kat,other_cyberbullying
amp make little secret emotional roller coaster pain almost monkey shoulder,not_cyberbullying
executing egyptian suppose make egyptian,religion
explain 5 translator would use strike,religion
hehehee trying,not_cyberbullying
seriously stoked girl got pretty cook,not_cyberbullying
tell get one weird hexa thing never talk,gender
amp classmate haha,not_cyberbullying
rt blizzard taking aim toxic player hero storm,other_cyberbullying
going whale time trend,not_cyberbullying
kat andre absolute dickhead,other_cyberbullying
bought tom,not_cyberbullying
problem need people like casey end bullying,other_cyberbullying
would iraq election,religion
real shame,not_cyberbullying
union bullying head shut school public sector strike telegraph,other_cyberbullying
go back top thread read,not_cyberbullying
small national service go wey dey go thru hell ahhhh wey screening tired koraa,not_cyberbullying
thanks rts,other_cyberbullying
quite shake feeling tiny bit rigged,not_cyberbullying
since bully add value show,other_cyberbullying
countless woman killed every day single number forgotten,gender
tied pseudonym real name even,other_cyberbullying
idea anyone seeing blue,not_cyberbullying
radial momentum mean fly away,not_cyberbullying
way plane atmosphere radial momentum,other_cyberbullying
someone posted facebook response woman tweeting earlier today,not_cyberbullying
bradford team 6 debut hansen flynn branston stewart hanson compton mitchell bully syers moore threlfall,other_cyberbullying
event putin used event grab power diminish russian freedom supposedly security,religion
deeply misogynist propagate wild conspiracy theory suggesting woman gaming fake death ra,gender
offered contact info speaking care contribute,not_cyberbullying
rt navigated moroccan desert w gps chase crew cell phone,other_cyberbullying
andre catch,not_cyberbullying
sometimes know colin saying,not_cyberbullying
kat contradictory cow,not_cyberbullying
say regret voting strategically,not_cyberbullying
blizzard proxying tweet instead sending tweet content directly twitter wow client,not_cyberbullying
good way compliment colin,not_cyberbullying
come friend sneaked concert without ticker,not_cyberbullying
quip played classification would u take clairton quip,not_cyberbullying
nandos advert really happen,not_cyberbullying
happy birthday love,not_cyberbullying
thanks girl love u,not_cyberbullying
colin scoring rating tonight,not_cyberbullying
7 roasted bird stuffed couscous,not_cyberbullying
free make choice good,not_cyberbullying
well going bk next yer moved ohio finishing last semester online school,not_cyberbullying
least churchill got right,not_cyberbullying
bully beatdown,other_cyberbullying
may try locate another hug,not_cyberbullying
holy shit rather commit suicide get bullied,other_cyberbullying
maybe girl le ticket worry cooking,not_cyberbullying
judge frosty scoring rosti,not_cyberbullying
yeah pole dancing biggest achievement,not_cyberbullying
aside knew actually look move sexy bonus class,not_cyberbullying
know old old old school song something wrong,not_cyberbullying
love pink campaign self love anti bullying ovarian cancer noh8 comin soon,other_cyberbullying
team rough scoring girl deserve better,gender
ahaha reason anyone would bully,other_cyberbullying
matter talented everybody going like thats life stay strong,not_cyberbullying
cramp hell,not_cyberbullying
fav team far definitely eva amp debra rose amp josh annie amp loyd robert amp lynzy sherie amp emilie jaz amp shaz order,not_cyberbullying
long assert right kill leaving,not_cyberbullying
worth trip alone,not_cyberbullying
photo u took awful send,not_cyberbullying
time fool saying fight germany good german,other_cyberbullying
rt blame team,other_cyberbullying
rt big government anti freedom fuck favour fat shaming,religion
smh college,not_cyberbullying
three paper reference far able locate third,not_cyberbullying
drowning self destructive pc stupidity,other_cyberbullying
bible still concept eternal jihad humanity,religion
comparison santa would apt,religion
lot talk around blocker tonight,other_cyberbullying
score low save,not_cyberbullying
obviously strategic voting,not_cyberbullying
6 italian scientist sent prison failing predict 2009 earthquake,not_cyberbullying
admit lot people died really,not_cyberbullying
even disturbing number people want watch,gender
prophet mohammed people executed criticizing,religion
ypg civilian leave fight,religion
daesh hold prisoner us shield,religion
im pissed fucking hate everything everyone,other_cyberbullying
2013 education resolution go school pharmacy successful,not_cyberbullying
chickeny thing,not_cyberbullying
technical terminology,gender
try amp claim innocence statistic paint someone avoid,not_cyberbullying
rt fact say intended car literally say windshield wiper limi,other_cyberbullying
really really curious see happens,not_cyberbullying
done neat stuff statsd graphite abuse metric,other_cyberbullying
three error known error unknown error unknown unknown error,not_cyberbullying
thanks intellectual response,other_cyberbullying
pretty entertained see half conversation,not_cyberbullying
rt escaped syrian child soldier join,religion
well whittled 18 14 short month,not_cyberbullying
god another fucking instant restaurant round,not_cyberbullying
got class early today,not_cyberbullying
always get hungry watching,not_cyberbullying
unfortunately russia source terror,religion
ukraine humanitarian reason,religion
first choice,not_cyberbullying
guy even know difference 3,not_cyberbullying
bringing one reason,not_cyberbullying
gamergate brought harassment limelight rest assured always,other_cyberbullying
unrelated highlander,not_cyberbullying
also prefer fletch life first reason gb 2,not_cyberbullying
even afford pay fighter,other_cyberbullying
close kind budget,not_cyberbullying
caught sprawled side chewing bully bone like lazy bum,other_cyberbullying
around 2 30 ish cause get outta class 1 50,not_cyberbullying
daesh fleeing kobane countryside,religion
guy make speech gun head,other_cyberbullying
saw blown church beheaded copt mass graf,religion
surley another round instant restaurant,not_cyberbullying
thirsty vagina warrior name new girl band,not_cyberbullying
old girl band bully pulpit trial balloon broke,not_cyberbullying
something need immediate attention randi work well,not_cyberbullying
trying decide time contact police call w lawyer,other_cyberbullying
never thought say unless trouble tequila involved,not_cyberbullying
heard correctly,not_cyberbullying
find impactful talk based around story tough balance,other_cyberbullying
rt stuffing instant couscous immediate elimination,not_cyberbullying
snap manu best judge reply ur bad score strategic voting,not_cyberbullying
realize cook good well,not_cyberbullying
50 000 70 000 would guess,not_cyberbullying
rt awwww lovely sentiment caring imam,religion
people school,not_cyberbullying
im cold wish bf give sweatshirt hahahaha yeah right,not_cyberbullying
would say egotistical let go danger mouse childish gambino,other_cyberbullying
bought crepe really know going call fruit burrito,not_cyberbullying
person doxxed 8chan,other_cyberbullying
despite person posted amp others home address suddenly see problem,not_cyberbullying
got school thursday,not_cyberbullying
rt think different thing happened since last august think thing like th,not_cyberbullying
already tell going one person stay contact leave school,not_cyberbullying
getting ready kill stuff teammate,not_cyberbullying
would back hand,not_cyberbullying
nigga wan na fight school shit,ethnicity
believe still awake wake 4 hour time school,not_cyberbullying
school 11 tmr,not_cyberbullying
state established war,religion
first time ever watching,not_cyberbullying
cooked bbq,not_cyberbullying
well articulated,not_cyberbullying
kat proud serving shit,not_cyberbullying
got one weirdest insult ever seen slung mra gater whatever,other_cyberbullying
man sexually assaulted friend high school two others cop home town,gender
ahhh arm numb,not_cyberbullying
rt synagogue shooting victim dy copenhagen edge,other_cyberbullying
offensive daesh try mount look weaker pitiful last,religion
remember half ppl,not_cyberbullying
rt resident leaving en masse tal abyad ypg fsa advance liberated town isi terrorist,religion
powerful lineup informative guest talk school safety 12 23 106,not_cyberbullying
phone 8 going cry,not_cyberbullying
rt naah sexist someone get shirt please,gender
please say sassy anymore,other_cyberbullying
curious gamergate find offensive overweight completely unapologetic amp unashamed,other_cyberbullying
think biggest problem much reliance wow service external mechanism,religion
target woman know fight back lot le,gender
sorry watching another round,not_cyberbullying
getting beyond ridiculous,other_cyberbullying
actually get people cook let know,not_cyberbullying
go read pact umar relegates third class citizenship,religion
rt meanwhile back english boyz tent,other_cyberbullying
bully prevention curriculum free online proven,other_cyberbullying
anonymous thing,not_cyberbullying
jason wadhwa promoting would require id home address pay use,religion
mi either claim seh want get lazy attitude towards school,not_cyberbullying
stalking fresh cal,not_cyberbullying
rt kathy sierra silicon valley meritocracy skater culture,gender
answer good side fighting aleppo,religion
best lipdub nobody top u class 2012 sayy whaaa,other_cyberbullying
still think course need work,not_cyberbullying
great half course paired ok half course good full course,not_cyberbullying
rt drasko steve trying impress collin bad,other_cyberbullying
te mereces un bullying,other_cyberbullying
took quixkweave hair grown thick,not_cyberbullying
oh sa keep competition,not_cyberbullying
thought cooking,not_cyberbullying
daesh scared helpless left propaganda campaign lie,religion
kat andre must pretty fucking shit cook need vote team 1,not_cyberbullying
like butcher girl kat amp andre dirty player cheat cook,not_cyberbullying
look meal wonder many stopped hamburger afterwards,not_cyberbullying
one hoping two fail hard,not_cyberbullying
vegetable fritter fresh corn yum,not_cyberbullying
one hour pre show hosted bully ray please,other_cyberbullying
skip school every wednesday monday tuesday thursday sunday,not_cyberbullying
rt maine man charged choking 2 cat death,other_cyberbullying
get wig snatched today ð need hair cut bad ð,not_cyberbullying
confused idea inflicting obesity others,other_cyberbullying
like force feeding doritos,not_cyberbullying
photo grandson,not_cyberbullying
1 strategy bastedry,not_cyberbullying
mean disadvantage woman body advantage sport flexibility size etc,gender
cuz people say missourah,religion
2 thing im really ready,not_cyberbullying
cant wait happen,not_cyberbullying
haha kate wiped smile face,not_cyberbullying
many contestant make kunte quickly loose interest yes,not_cyberbullying
many round,not_cyberbullying
honestly asked year,not_cyberbullying
b answer readily,not_cyberbullying
go ash carmella cook breakfast,not_cyberbullying
gaters started spamming instead account,other_cyberbullying
cool modifying ggautoblocker use mute acct,not_cyberbullying
real get bullying victim fight back help brazilian jiu jitsu royalty,other_cyberbullying
think got mine one else wanted touch code working,not_cyberbullying
people getting mad racist getting fired favorite mouse squeak white supremacy,ethnicity
posted subreddit modded person claim doxxed,other_cyberbullying
need force daesh move place place reenforce troop need hit transition,religion
loving ur pic babe xx,not_cyberbullying
rt self appointed vigilante feminism yet share article proclaims men needed,gender
light situation libya tell u time gave bullying person despotic bos comeuppance,religion
reason release gold dinar gold,not_cyberbullying
handle another round crap,other_cyberbullying
playing wooly bully sam sham pharaoh,other_cyberbullying
target demographic 1950s businessmen apparently,gender
fun fact draper fucking love tea,not_cyberbullying
rt lady gentleman interrupt regular tirade remind thor frog,gender
grate thing simple many expressed single word freedom justice honor duty mercy hope,religion
kat andre scored strategically stay bloody competition,other_cyberbullying
another conspiracy theory idiot data,other_cyberbullying
although police fairly nice,other_cyberbullying
able without problem,not_cyberbullying
27 monitor lot lighter dumbbell use,not_cyberbullying
like waiting since school started,not_cyberbullying
vc sofres bullying,other_cyberbullying
é galero sofro bullying memo,other_cyberbullying
philosophical exercise,not_cyberbullying
quran repeatedly tell fear allah,religion
would god want feared,religion
negativity aint nobody got time dat,ethnicity
got active twitter fact going active,not_cyberbullying
16 kitchen invention take away worst thing peeling fruit,not_cyberbullying
bianca deserves medal cooking drasko,not_cyberbullying
haphazard ineffective long range shelling,not_cyberbullying
always hear people claim oil u motivation never rational argument,religion
vile individual taking great satisfaction negative others,religion
cave nearby colin keep stuff,not_cyberbullying
congratulation illinois becoming 15th state reach marriage equality,religion
stand bully,other_cyberbullying
rt force managed cut main road tel afar disrupt supply chain,other_cyberbullying
horse shit,not_cyberbullying
amp see isi statement actually arab nationalism,religion
think password work,not_cyberbullying
stored plaintext,religion
hottest bully ever,other_cyberbullying
obvious care anymore,not_cyberbullying
give half fuck sweatshop labor derail,other_cyberbullying
gay teen sue minnesota school district bullying policy via,other_cyberbullying
5 translation 33 33,not_cyberbullying
police radio stop bullet make bully vest police radio,not_cyberbullying
wish school easy half girl,not_cyberbullying
wait comeuppance,not_cyberbullying
would claim point tying shoe shirt buttoned,not_cyberbullying
stand watch two word fail,not_cyberbullying
love tweet whine want never sportscaster woman,gender
gamergate repeatedly proven linking url mean shit comprehension,other_cyberbullying
also wrong let get away,not_cyberbullying
rt woman feel guilty attacked scary true tech,gender
seriously see white,ethnicity
girl terrible cook,not_cyberbullying
queensland cunt hat reminds brian blessed boring man planet earth,ethnicity
unique challenge uphold feminist ideal heated argument second language three men,gender
rt guy sex tape leaked,other_cyberbullying
rt love life,other_cyberbullying
wish could sample,not_cyberbullying
obscene thing ruby evening,gender
waiting sync bitch mac amp imma blast beat,not_cyberbullying
swear god 82 6 girl even understand rule football,gender
believe another nice irish expression would colin fecking eejit,not_cyberbullying
ruined everything life,not_cyberbullying
fuck get away bullshit,other_cyberbullying
sore winner,not_cyberbullying
cooking ear,not_cyberbullying
ordering shoe sweater online tonight cleaned house,not_cyberbullying
think anyone know want highschool,not_cyberbullying
mean still pretty young,not_cyberbullying
bullying need,other_cyberbullying
presented without comment,not_cyberbullying
settle 300 winchester mag building,not_cyberbullying
kat annie showdown sudden death could literal,other_cyberbullying
oh need bullying bbz,other_cyberbullying
havent seen elliott 2 year boy comin delco one week let fucking go,other_cyberbullying
rt thanks great talk digital government,not_cyberbullying
rt lloyd drasko think camping going easy,other_cyberbullying
mean people calling camp year,gender
rt university muslim student admits made whole story,religion
congrats ash amp camilla,not_cyberbullying
congrats breaking great record,not_cyberbullying
exactly red,not_cyberbullying
love coffee,not_cyberbullying
favorite brand coffee brew house,not_cyberbullying
think right murder anyone offends,gender
rt must say useless term dealing harassment,other_cyberbullying
still team need voted island,not_cyberbullying
contestant frustratingly annoying,other_cyberbullying
better go class today,not_cyberbullying
hell thinking company name,not_cyberbullying
leader extorted jizya,religion
anyone fallen irony vortex created,gender
one safe one,not_cyberbullying
watching bully beat shit funny af,other_cyberbullying
laying watching school daze,not_cyberbullying
australia spends two month deciding whether red bully,other_cyberbullying
need chill sometime soon everyone bdl home college,not_cyberbullying
people stretch way blame u everything,other_cyberbullying
9 month lost 3 team,not_cyberbullying
right call bully 4 exposing big lie via,other_cyberbullying
ready run playing mkr background music,not_cyberbullying
rt anyone else would least answered lauren question say look critique ensler work,gender
rt vicky celine team sudden death,other_cyberbullying
surprise although would nice kat,not_cyberbullying
claim physically superior right,gender
fairy tale creature,gender
problem forced wear microbrain,not_cyberbullying
rt mmmm yum love chestnut gnocchi roasted creamy caramel,not_cyberbullying
haha alright thanks david,not_cyberbullying
indigenous woman critiquing settler colonialism,gender
people mean try remember look way stand becoming bully,other_cyberbullying
still unsure really want feeling little pant money dude,not_cyberbullying
got redirects set existing article post linked old url work fine,not_cyberbullying
armstrong cheated dirtiest sport world,not_cyberbullying
rt announcement iu oh hyuk 6pm today,other_cyberbullying
retweet 100 bullying,other_cyberbullying
retweet inspiration,not_cyberbullying
p people think awkward really,not_cyberbullying
fuck watch another round,other_cyberbullying
neither created supported sadam,religion
know crack,not_cyberbullying
