Username,Comment
@QUEENofHEARTZ1973,"THE ONLY REASON ANY CHARGES WERE PUSHED ON TRUMP IS BECAUSE BIDEN KNEW THAT THE ONLY WAY HE WOULD BECOME THE PUPET HE NOW IS IS TO LIE AND CHEAT AND FRAME TEUMP AND AMERICANS STAND BY TRUMP CAUSE TRUMP GOT THE BALLS TO STOP CORRUPTION IN THE U.S AMD BIDEN TRYINTO SAVE HIMSELF FROM PROSECUTION FOR BEING THE WORLDS BIGGEST FRAUD , BIDEN HAS MADE AMERICA LOOK LIKE A JOKE ! TIME TO SIT DOWN SLEEPY JOE YOUR GAME US UP"
@QUEENofHEARTZ1973,"Biden needs to STOP trying to read the tele prompter, at least TRUMP can think for himself not be directed what to say ..what buden says are not his own words he is reading whats being written for him on the prompter, biden is a puppet "" read what u see on screen sleepy joe """
@QUEENofHEARTZ1973,"Biden is such a liar and proved it, when he said"" i secured the boarders"" when everyone knows biden done 2 things, 1. He took the wall down on day 1 and 2 he allowed bus liads of immigrants in and housed them in hotels at 350 ea.daily 
Also he was caught in a lie when he says vets are better since me, NO VETS ARE HOMELESS & SUFFERING WHILE HE PAYS 350 TO ILLEAGALS DAILY BUT NEVER OAID VETS 350 DAILY !!
AND BIDEN LIED WHEN HE TALKED ABOUT HIS SON, CAUSE HIS SON BIDEN GIRED AN INNOCENT MAN WHILE HIS SON WAS RUBBIN ELBOWS WITH RUSSIANS !  

TRUMPS GONNA CLEAN HOUSE !!! GET READY ! TRUMP 🇺🇸2024"
@user-hn7wo5wy9o,Never had a full check at border with Mexico  as professional  driver
@realCyng,How do these spin people sleep at night 😂
@morbias8321,Honestly do people realize usa is the laughig stock of the world right now? Biden has been so goofy in the last years
@hookalakah,President Joe Biden just had a bad night.  He had a cold.  He had a stutter.  The CNN hosts were in the tank for Trump.  The split-screen was a cheap fake.  You didn't see what you thought you saw.  His advisors were terrible and need to be fired.  His shoes caught on the carpet.  The stairs made him fall.  The other bike rider threw him off his bike.  And the dog ate his homework.
@alshavanattia8773,"Totally agree, a lot of these politicians just need to retire we need some newbies because a lot of them are in their 70s and 80s , That and why not step out of tradition don't get me wrong tradition has its place but not for every decade sometimes it's good to make a different decision and look at history it repeats itself in different decades and in different ways"
@Handefined,where's the skibidi
@Ravag3rrr,First time watching a presidential debate and i can tell it has nvr been this entertaining😂
@Ravag3rrr,"""No pre written notes"" not even 5 mins in and he is already looking down at his notes😂"
@leonard257,Sucker 02:26:24😂
@tomfuller5585,"What we saw at the debate was not “a bad night”, as many liberals described it. To the contrary, it was his best foot forward. They finally saw a realistic picture of the guy they voted for, without the liberal media's filters, gaslighting and censorship."
@VivaNexLifestyle789,"During the Democratic administration, many H-1B visa IT workers, especially from India, came to the U.S. and received sponsorships for green cards. This influx raised concerns about them taking jobs in the information technology sector. We need to establish laws requiring companies to prioritize hiring American workers and outsourcing American jobs before employing H-1B visa holders for cheaper labor. Our younger generation is at risk. MAKE AMERICA GREAT AGAIN - HIRE AMERICANS FIRST!"
@DG-ee9hi,If there would’ve been an audience there Biden looks 10x worse
@91dodgespiritrt,"The Democrap Party - led by Joe Biden and PA Senator John Fetterman - is the GREEN ""Vegetable Party"". HA, HA"
@lisa196409,I just want to refresh your memory. Trump had businesses in the Ukraine while he was President remember? Has has ties with Africa. Africa they are setting you up. Let me tell you something Africa China and the United States and Ukraine will go against you don't let them in..
@nikkirutter7704,Biden needs to be fired and retired
@perrierri7687,How can they allow them to go off topic and avoid the questions to that extent?? This would never happen in Europe.
@coverboy1050,R.I.P. JOE BIDEN.
@ingusbingus8750,Trump 2024!
@GabrielMrHouse,"what i learned from this debate
-no idea how to end the war in gaza
-golf is more important"
@davidisthis,Biden is lying nearly as much as Trump.
@ben-9502,I''m just impressed. his ideas and debating skills are still so great at that age
@matt7038,"According to Biden, there is no inflation. Apparently the increase in everything and anything you can think of right now is economic growth. What an insult and joke"
@nleigh97,Debate begins at 2:02:02
@tillygarthman2073,This is like an comedy show i love it real entertainment
@kaeli6577,Was this the secret plan all along? To replace Biden??    Is that why they pushed to do this debate so early?before they even held the primaries? And why they were so ruthlessly desperate to keep Kennedy away??
@davidisthis,This is so disgusting. One of these guys will be the president. If our ancestors could see us now. These guys are competing for leadership. These two are considered the best of us.
@davidisthis,What Biden did in the nineties doesn't come up enough. I think he should never live that up. No one discussed the crack house legislature because Trump would have supported it as well.
@davidisthis,Biden should have a pen and paper.
@djersonleo4637,Biden makes trump sounds articulate
@cookiemuffen5398,Did democrats think Joes facelift (and chin job) helps the public’s opinion on Biden’s brain?
@cookiemuffen5398,Thanks for the view.
@cookiemuffen5398,Child care? Yrs ago our moms in lower middle class families could stay home while husbands worked.  Now single motherhood is being pushed by democrats.
@cookiemuffen5398,"FAIR SHARE?  IF SOMEONE WORKS HARD, GOES TO SCHOOL AND STUDYS ALL THE TIME TO BECOME SUCCESSFUL, WHY MUST THEY BE OVER TAXED?"
@melissasanford9652,Why was Joe allowed to have NOTES?
@Malcolm-iu1nk,"Is Joe Biden a threat to US National Security?
Should he sanction himself?
Can he sanction himself?
More importantly is he capable of sanctioning himself?
The mind boggles.
CHEERS from
NZ"
@boooster101,"Take a shot everytime one says ""of history"" or ""in all of history""

Happy liver failure"
@justinsmith4839,These two are all we have in the entire US. Absolutely ridiculous. Two MORONS.
@whatafarce4805,Having Biden as President of the USA is equivalent to having Mr. Magoo... only WORSE!!!
@69digritz,"Abortion point - Trump is so manipulative in his presentation of the legislation...and is feeding paranoia, but think about it....every woman listening - would you you want to have someone else decide if you can have a termination or not, if you have good reason to have one ? Surely thats your choice and that of your medical advisor, not the state ? ( sits back waitng for the fireworks)"
@Basil-,Enemies to lovers!
@Nadya-g3o,"Europe does not take seriously United States, because of TRUMP, not because of Biden. January 6th is an embarrassment for the country, caused by Trump."
@esthercronje7395,"no press, no moderators, no audience, because they both are clones, being controlled by puppeteers go compare the two ""presidents"" in the 2020 debate and see the differences!"
@explorermusic9321,Robert de Niro for president
@ChrisMacaulay-ci8gd,Something huge coming for black communities that will change black communities forever once Trump selected
@Subeku,"Americans society is deeply fractured and consumed by its own problems 🤣🤣🤣🤣🤣🤣 and they dare to give lecture to the world, first clean your poop🤣🤣🤣"
@filpontalba5102,Trump was desperately trying to defend himself from the accusation and tirades of president Biden.
@marsong2285,"With presidents like these two, America don't need enemies!"
@martadevivo,"Trump is way better than Biden. He can talk, he is capable of answering questions, he has a vision. Biden can't even put two words together and has destroyed America and contributed to creating wars all over the place and caos in the international stage. You may even be a democrat (I am politically neutral) but you can't deny that Biden has objectively been a total disaster. America is at serious risk, the world is at risk with Biden President of the United States. People got poorer and mental illness has hit record levels since Biden took office. I hope all Americans will realise that on November 5th they are not just going to vote for an election but they will decide if America will sink down or will prevail and do America, the most important country in the world. Please love your country, vote for Trump."
@amanda51600,"I am sorry to say that I thought Americans were the most intelligent people in the world, is this 90 minutes the only time you have to decide who a good president is or will be. Are you all that shallow in mind?😅😅😅"
@robgiles9992,Are these two muppets the only candidates you can come up with America?
@NaveenKumar-he8dy,I think Biden should have a spokes person on behalf of him.
@Rugged-Mongol,*G E R O N T O C R A C Y*
@ronaldnugent1514,Both sides are off balance with their thinking next Allah has his own debate about how he will win!!!!!🌠🌙
@yoseph2420,Biden is being pushed into this
@isabelgaertner8210,I am a German watching this and I am really getting scared of the future now
@user-yb6mx5vf6d,"Trump:✋😄🤚
Biden:🤤
Trump:☝😄
Biden:🤤
Trump:✊😁
Biden:🤤
Trump:💪🤠🇺🇲👍
Biden:☺️
    ✌️👔✌️
    🦵💩🦵
Trump:🤣🤣🤣"
@pietervonck3264,Statler and waldorf
@MAX1M84,Beavis vs Butt-head😂
@smackattack4284,"But you can't push Joey 'round Joey won't go, try tellin' everybody but, oh no Little Joey, Joey won't go home"
@SatansBaby1,"if trump is elected, this will be the end of America."
@anchorage9562,Let Biden retire.
@TD-fq2qd,Biden is clearly reading off a screen. There’s a little man with a keyboard prompting him. I thought this wasn’t allowed.
@kalkalphe5960,USA and European Union are responsible for the Ukrine War Why is America wants NAO force in Ukraine??  Its all about America interest on being supreme ANY nation loving leader will retaliate nsuch action
@Iiithunmai,How can USA vote for this old man..🥲
@ibm4891,Thinking about Modi having debate with Rahul Gandhi in India... Lol....
@brydigam,the woke rather ellect a senil puppet than someone telling it how it is... we truly live in 1984
@harshitprajapati3403,Usa deserves better but  we need ( India) this type of democracy.
@MsBeautifulRed,I can't believe there was no fact checking during this debate.  Unbelievable.  Killing a baby at birth is called infanticide.  Why did the moderators not stop him and correct him?
@daleblack3229,My gosh why did we even have this debate I didn't hear anything about how either one of them is going to make anything better. But I do know that under Trump my paycheck went a whole lot further than it's going under Biden everything from food gas hotels repairs you name it they've all gone up under Joe Biden
@Sogga423,They killed Micheal Jackson and they aren’t even hiding it anymore
@ff-cq5hh,#banwikipedia
@Cdoddsy,"I'm an independent and try not to take sides this early in an election, but I'm sorry ... President Biden looks and talks like he just had a stroke. I've worked with stroke patients before and it's sad to see. I don't think I trust him running a toaster, let alone a country. This isn't the same Biden who ran 4 years ago. That Biden was qualified. This Biden is not."
@ItsAboutPeaceBaby,"OMG!! At (09:16:36) Trump rips a big, wet fart after he says ""He can't, it's too much money"". Keep in mind, Biden's mic was muted. So it was definitely Trump that tooted!"
@daleblack3229,I don't know if I've ever heard of President Donald Trump  say anything about attcking Americans but I have heard biden and say he was going to use f-15s against Americans and disarm us.
@MrXeha,The biggest liar here is the intermission speaker Mitch Landrieu.  He'll just call someone a liar without evidence.  Never seen such bold face lying.  His claim to evidence are his own emotions and agenda.
@annalucky5741,"Biden was the worst US president ever have, use most taxpayer money to helping other country than helping us poors."
@delatroy,Sounds like both support continuing the genocide
@MrXeha,Never heard a longer stream of lies in one sitting.
@ff-cq5hh,"Nobody trusts Wikipedia...aka history rewritten. 
Gavin Newsome has a Racist background and worth almost 30 million for making California homeless 🎉🎉🎉🎉😢"
@NikolaCekic-wq2uv,Putin for president
@IlanaCastro-pc1iw,Take a shot every time Biden makes an open-mouth cough
@amadexmilby7309,"The Democrats awareness is in the negative. I'll just ask this, What is the benefit of having Biden as a president for another term?"
@donbevrader7962,"Cover-up EXPOSED…!    Finally, Americans got to see the Real Joe Biden.   The Lying Liberal Media couldn’t hide this one. 😆😆"
@asimabrar4,True❤
@whitemale7736,"Some votes for Trump.
Some votes against Trump.
Nobody votes FOR biden."
@silverhills5684,"Groceries that cost $100 when Trump was President, now cost $400 !!!😡
🤯😱
The moderator obviously does NOT buy groceries himself or he would know this !!
The moderator said groceries that cost $100 dollars during the Trump Presidency cost $120 now with Biden as President !!!
Either the moderator doesn't buy his own groceries, or the moderator gets a $280 Discount !!!😮

I think the moderator is fudging and covering up the horrible facts of the cost of living as a propagandists for Biden.

Also, my home value went from the mid-$200k to now the mid-$400k !!!
That's Double the cost !!!
The moderator said housing cost went up only 30% !!!🤦‍♀️😵‍💫🤪
Again, the moderator is playing the propagandist for Biden to lessen the horribleness of Biden and his Administration."
@silverhills5684,"The man on the right, on stage behind, the lectern, answering the moderator questions is not Joe Biden. This man does an almost convincing portrayal of Joe Biden, but the makeup artist forgot about The Real Joe Biden's dangling ear lobes and The Real Joe Biden's LACK of a cleft chin.
Pull up any picture of Joe Biden in his 40s or 50s when there was no need for Biden to have a double look-alike and you will plainly see his dangling earlobes and cleftless chin.
Age does not change earlobes from dangling to attached, nor does age create a cleft chin. There are other differences, too, from The Real Joe Biden and this almost look-alike imposter, but these 2 differences are enough evidence to recognize this man speaking in the debate is an imposter.

Also, one doesn't even need to pull up a picture of Joe Biden when he was younger, because the picture that is used as the advertisement next to Trump's picture is The Real Joe Biden, but the one on stage answering the debate questions is the imposter.
Notice that in the advertisement picture of The Real Joe Biden, his earlobes are not attached to the side of his face, but the man answering the debate questions has earlobes that are attached to his face. Now notice the picture of The Real Joe Biden in the advertisement picture does NOT have a cleft chin, but the man on stage, answering the questions DOES have a cleft chin.
Those two differences are enough proof, evidence, that the man on stahe, answering the questions is NOT Joe Biden."
@user-wb1si7dn3z,Think about this you all; illegal immigrants and refugees don't want to contribute anything but destruction the fall of our Republic. Look at how New York City is now because the illegal immigrants. It could get like that ANYDAY ANYWHERE. It doesn't make any sense that all of these illegal immigrants can receive thousands of dollars a month plus free housing and free transportation meanwhile the homeless African-Americans and homeless honest hard-working Caucasian people are going broke due to inflation of illegal immigration and crime stemming from it. Vote Trump 2024 and keep your neighborhoods American and your town American. Too many means possible.
@bunnyboo786,Spouses of American citizens are eligible for citizenship. I don’t know why they mention spouses.
@Richard-ms8ux,Biden is the laughing stock of the world the US needs a strong leader!!!!
@FantumTax-xt6so,Trump vs Verge of death biden
@melaninfuture,🍿🥤
@user-jm7fb3ot8n,"Wow, Biden lies with his eyes open and blinking at the same time!"
@johnbartlett9568,What is wrong with you people
@johnbartlett9568,7
@danyseg2000,Hawk tuah!!🤬
@crowleypage8453,"""The idea"" ""The idea"" ""Number 1"" ""Number 2"""
@louisk6351,Where has all the leaders gone😢
@xhrx5658,They should put subtitles for Biden because I'm having trouble understanding him
@Jess-wi3re,#golf#shop#talk
@krakra6551,.... and WHAT is the sound at 3:16:24 ???? Biden 💩 himself live? 😂😂😂😂😂😂😂😂
@nicolascocolios7405,"Go watch the Reagan vs Carter debate, compare and realise our doom"
@Mdmc9738,"Tell this jazz to a third world! Both have skeletons in their Cllosets😢 Today's individuals not buying this mythological, fiction😢"
@georgegeanon3226,"This country is tired of listening to Joe Biden's constant lies.

The borders are safe.
I inherited an inflation from Donald Trump at nine and a half percent when actuality was only one and a half percent.
I finished at the top 10% of my love class where it actuality was at the bottom 10% of his class.
Mine has gone down under my Administration for everybody to watch the news and know that crime has gone up a lot a lot a lot.
I had no INVOLVEMENT with my sons business in Ukraine & China. Tape & witnesses stating the opposite. 
I love my son Hunter. Of course you do. 120 SARS reports & $20 million hit the BIDEN CRIME FAMILY?
Political prosecution of your political adversary.

Reading a teleprompter is easy. Even a monkey can do this.

Even the NY TIMES says Biden should step aside!

The list goes son  & on@
Why you so bad giving all this money for Ukraine does it have something to do with Burisma?
Is he trying to cover up something with his son Hunter?"
@georgegeanon3226,"This country is tired of listening to Joe Biden's constant lies.

The borders are safe.
I inherited an inflation from Donald Trump at nine and a half percent when actuality was only one and a half percent.
I finished at the top 10% of my love class where it actuality was at the bottom 10% of his class.
Mine has gone down under my Administration for everybody to watch the news and know that crime has gone up a lot a lot a lot.
I had no INVOLVEMENT with my sons business in Ukraine & China. Tape & witnesses stating the opposite. 
I love my son Hunter. Of course you do. 120 SARS reports & $20 million hit the BIDEN CRIME FAMILY?
Political prosecution of your political adversary.

Reading a teleprompter is easy. Even a monkey can do this.

Even the NY TIMES says Biden should step aside!

The list goes son  & on@
Why you so bad giving all this money for Ukraine does it have something to do with Burisma?
Is he trying to cover up something with his son Hunter?"
@bannedintheusa5714,No one past the retirement age should be able to run for president congress or  get any government job.
@FerdinandAlcindor-zl9of,Yet they won't allow Kennedy to debate...
@JRDacles,LET TRUMP SIT ON PRESIDENCY (CORRUPT PERSON) or BIDEN (NOT FIT BECAUSE HIS TOO OLD) or who will be the President of the USA? This is sad and scary for the American people. Few more wrong decisions and these country will go to depression.
@thenaixa8129,I'm not American so I don't know much but both of them are madman from what I'm seeing. Trump just got a massive upper hand with his precise and cunning public speaking abilities which works great for media exposure - biden ain't got that.
@crowleypage8453,Trump is great
@vali81may,Biden took a pill in Ibiza
@Bretjohnson1331,"Really Biden said no troops died under his watch. What about the 13 killed at Kabul, what about the 2 seals killed in Yemen, what about the American aid workers he kiIIed in drone strike he ordered after mistaking them for terrorists.   No terrorist ever crossed the southern border....   What about the 2 isis members that are being held in San Diego after they were caught attempting entry last month that are high value targets on the terror watch list.  All of that is just a few examples and there are plenty more"
@solutionproject9020,If you let some people carrying torches not AR-15s butt torches take over our capital shame on you
@solutionproject9020,Neither person in the debate talks about getting rid of the judicial and legislative members and replacing them with Americans that care about it's citizens because you executive you only sign paperwork
@multiNchannel,"Dear Americans, pls vote for Trump for our sake thanks"
@solutionproject9020,Jan 6 was fake most of them worked at the white house and when they asked most of the people who was there they was paid by the Democrats
@bobbyulili,Criminal vs Corpse
@solutionproject9020,America will fall if we stay with NATO NATO's being destroyed in the king of England is coming to martial law America if we don't leave NATO
@solutionproject9020,Israel is evil in anybody that follows them is evil and for America to be involved with Israel makes us evil until we break free from these evil demons
@solutionproject9020,Ukraine is everyone's enemies they made a promise to Russia and now are violating it so Putin has all the right in the world to attack a racist country who spy on us for years
@ElijahtheTishbite777,"A country gets to this stage when you leave Christian values and morals behind, its that simple. Jesus is Lord."
@ryanthomas6807,Why does Biden look lost
@Lanajune1620,Not only does Biden has dementia and is the worst president ever. Biden is also corrupt. Biden and his family gets millions from China. Because China is trying to topple America. So voting for Biden is voting for China to take over America. We need to make America great again. We need to vote for a leader who loves America and put our people first. Let’s vote for the best choice Donald Trump!
@davidsullivan9593,Donald Trump pardon himself for the charges that held up against him this is what I say every state should have a judgment The states should pardon him most states will pardon Donald Trump for where Donald Trump don't can't even don't even have to party himself
@nicp1649,We're cooked. Nothing left to say.
@deltascalemodel8666,Trump is a big liar and definitely an authoritarian
@jacoblorfing4418,Trump Won!
@user-xq9li4qx8l,"I love USA , Golden Gate, California, Florida, New York, 
I will go once in my life"
@forcebane3787,Thanks for posting!
@Cchouette,"Everyone knows that senile puppet Biden is incapable of being in charge. Who really drives the USA? Behind Biden, it's Obama's warmonger team, in short, the servants of the deep state 👁️⃤  These past 4 years have been Obama's third presidential term 👎🏻"
@rajeshkr7325,Salman Khan Shot atDead.Breakingnews
@francarroll310,Biden is so focused on other countries instead of ours
@XploraWorld,"Even ROME had its own Biden

https://youtu.be/0PoH7fSf-rY?feature=shared"
@조용태-o9f,Elon musk.
@조용태-o9f,🇬🇧 🇺🇦
@조용태-o9f,God bless USA 🇺🇸 🙏 ❤️ God bless Canada 🇨🇦 🙏
@raniejornales,Biden stole & cheated the election with all the millions of unverified mail in ballots
@조용태-o9f,Joebiden president goodmoning 0:35 🎉47th president congratulations 🎊 2024 1105 0:46 0:48
@조용태-o9f,❤Amen 🙏
@raniejornales,We are a weak nation cause we can't even feed our own people 🤪
@raniejornales,Least Trump don't have chicken legs 😄🤪
@raniejornales,We are the joke of the world Biden 🤪
@raniejornales,Weak president...gives billions for hostages ...i vote for the stronger president...always blaming Trump for his failures.... walking into a mess that he was left with??? Really? Democrat run cities ruin millions of jobs putting their mandates
@raniejornales,Biden shaking in his boots from the facts & come backs from Trump 😄😄😄 Biden's come backs didn't even put a dent on Trump 😄😄😄🤪
@raniejornales,More Americans WILL vote for TRUMP cause they know what he's done for America...unlike u Biden....for immigrants 🤪 i will vote America 1st & keep our hard earned taxes
@raniejornales,No comment from Biden after Trump saying he did nothing wrong is right.... molesting a woman...those are accusations...made up...B.S.
@raniejornales,Biden is a compulsive liar... nothing in Trump speech indicating to over run the government
@raniejornales,We look like sissies & suckers cause we're left with bill lookin like a deer caught in the spotlight 🤪
@raniejornales,"Trump is right...no terror under Trump's administration 🤪
Biden has no facts....he hides his embarrassment...He goes begging to the Iran Muslims for oil...making us look weak"
@raniejornales,Comin from a president who looks at his watch then giving respect to the veterans
@raniejornales,Did Biden improve the VA? really?
@Joe-g1m,"FBI, or anyone else watching Campaign finance laws-----Is the following clairvoyance?  I see individuals purchasing  a certain  (Dumb Joke Trash)  stock.  To go around campaign finance laws.  Foreign investors and other wealthy are contributing campaign dollars to this account to funnel campaign money to a political office seeker.  (I wonder how much is coming from some special Putin accounts set up in other names?)  That is why a basically penny stock is so high.  They will hold the price up until this politico and their minions bail out and sell off at inflated rates.  The contributors will then be able to list their (stock purchases) campaign donations as write offs  for losses in the stock market that they can't do now.  Of course it is going to crash after the sell off.  Is there anything This political con does that isn't a con?"
